Action,ChatGPT responses
Car (electric),4
Car (gas),9
Bus,6
Subway,3
Boat,8
Plastic bottle,8
food packaging,6
single use bags,9
take out container,8
cardboard boxes,4
paper towels,6
toilet paper,5
disposable utensils,8
plastic straws,9
Electricity usage,6
coal,10
oil,9
gas,8
Heating,7
natural gas,7
Cooling,8
air conditioners,8
fan,3
Home appliances,6
refrigerator,6
washing machines,5
ovens,6
electronics,6
tvs,5
computers,6
smartphones,5
phones,2
meat,10
dairy,8
processed food,7
imported food,6
food waste,9
long showers,7
water heaters,6
irrigation for agriculture,8
bottled water production,9
building materials,9
concrete,8
steel,6
glass,5
Home construction and renovation,5
insulation,6
Furnishings,6
wood,5
metal,6
Urban sprawl,8
Fast fashion,9
Synthetic fabrics,8
polyester,8
nylon,7
cotton production,7
cotton,5
leather,8
hotel,6
cruise,10
plane,9
flight,9
toothbrush,5
makeup,6
masks,5
syringe,4
gloves,4
tooth,3
Delivery of box,7
